Articolo;Totale;M_BUSINE_017944_20110505;VIRIDEA__018097_20110507;M_BUSINE_018000_20110510;F_LLI_PA_017981_20110511;M_BUSINE_018017_20110511;LEROY_ME_017415_20110512;LEROY_ME_017471_20110512;LEROY_ME_017989_20110512;LEROY_ME_017990_20110512;LEROY_ME_017991_20110512;LEROY_ME_017994_20110512;LEROY_ME_017995_20110512;LEROY_ME_017998_20110512;FURLANI__018024_20110513;GWM_AGEN_017197_20110514
Note;;SORBARA;RODANO;TAVERNERIO;URGENTE;MONTEROSI;CARUGATE;SAVIGNANO;ROMANINA;BOLOGNA;ROZZANO;LAURENTINA;GIUGLIANO;CIAMPINO;;COOP H.MAX 195 CM.
Scadenza;;05_05_2011;07_05_2011;10_05_2011;11_05_2011;11_05_2011;12_05_2011;12_05_2011;12_05_2011;12_05_2011;12_05_2011;12_05_2011;12_05_2011;12_05_2011;13_05_2011;14_05_2011
Cliente;;06.03044;06.03419;06.03044;06.01437;06.03044;06.03089;06.03089;06.03089;06.03089;06.03089;06.03089;06.03089;06.03089;06.00867;06.00475
Ordinecliente;;336202;4711008418;11/0353102;;11/0353977;80010972;80008009;52118063;52116499;52117102;52116623;52116883;80047078;901;10086
127IL ALVS;4;;;;;;;;;;;;;;4;
127IL BIGIRO;4;;;;;;;;;;;;;;4;
127IL CHGIRO;644;;;;;;;;;;;;;;;644
127PE;60;;;;;;40;;8;8;;;4;;;
127S  ALAR;68;8;;;;8;20;8;;;4;12;;8;;
127S  ALBL;20;8;;4;;8;;;;;;;;;;
127S  ALVS;20;4;;4;;8;;;;;;;;;4;
127S  ANAR;4;;4;;;;;;;;;;;;;
127S  ANBIBE;48;;4;;4;;;;;;;32;;8;;
127S  ANBINE;36;;;;;;;;4;;4;20;;8;;
127S  ANVS;8;;4;;4;;;;;;;;;;;
127SB CHBIBE;12;8;;;;4;;;;;;;;;;
127SF NENE;8;;;;;8;;;;;;;;;;
